time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.42;videos/cuts_test/50wtf9.mp4;walk;(np.float64(493.0), np.float64(140.88));(np.float64(497.5), np.float64(134.88));(np.float64(491.5), np.float64(130.5));(np.float64(483.5), np.float64(133.0));(np.float64(472.25), np.float64(119.38));(np.float64(469.75), np.float64(172.75));(np.float64(438.0), np.float64(138.62));(np.float64(498.5), np.float64(208.88));(np.float64(421.25), np.float64(81.19));(np.float64(533.0), np.float64(230.62));(np.float64(430.5), np.float64(30.75));(np.float64(413.75), np.float64(265.0));(np.float64(402.75), np.float64(257.25));(np.float64(407.5), np.float64(355.0));(np.float64(429.5), np.float64(349.75));(np.float64(379.0), np.float64(438.5));(np.float64(437.75), np.float64(442.0))
0.46;videos/cuts_test/50wtf9.mp4;walk;(np.float64(494.0), np.float64(139.75));(np.float64(498.0), np.float64(133.5));(np.float64(491.75), np.float64(129.62));(np.float64(483.75), np.float64(131.75));(np.float64(472.25), np.float64(119.94));(np.float64(470.5), np.float64(170.75));(np.float64(439.5), np.float64(141.62));(np.float64(497.75), np.float64(202.0));(np.float64(423.0), np.float64(92.19));(np.float64(532.5), np.float64(220.0));(np.float64(430.25), np.float64(42.75));(np.float64(415.5), np.float64(265.0));(np.float64(405.0), np.float64(258.25));(np.float64(407.75), np.float64(354.5));(np.float64(430.75), np.float64(349.5));(np.float64(379.0), np.float64(438.0));(np.float64(438.0), np.float64(441.5))
0.5;videos/cuts_test/50wtf9.mp4;walk;(np.float64(494.5), np.float64(139.0));(np.float64(498.5), np.float64(133.12));(np.float64(492.5), np.float64(129.25));(np.float64(484.0), np.float64(131.38));(np.float64(472.75), np.float64(120.38));(np.float64(472.0), np.float64(169.62));(np.float64(440.5), np.float64(143.5));(np.float64(499.25), np.float64(196.75));(np.float64(423.75), np.float64(103.56));(np.float64(536.5), np.float64(212.12));(np.float64(435.0), np.float64(58.75));(np.float64(417.0), np.float64(265.0));(np.float64(406.0), np.float64(258.75));(np.float64(407.75), np.float64(353.5));(np.float64(431.5), np.float64(349.25));(np.float64(379.5), np.float64(436.75));(np.float64(437.5), np.float64(440.5))
0.54;videos/cuts_test/50wtf9.mp4;walk;(np.float64(495.0), np.float64(138.75));(np.float64(499.0), np.float64(132.75));(np.float64(492.75), np.float64(129.0));(np.float64(485.0), np.float64(130.88));(np.float64(473.5), np.float64(120.25));(np.float64(473.25), np.float64(168.62));(np.float64(442.25), np.float64(145.0));(np.float64(503.0), np.float64(193.0));(np.float64(424.0), np.float64(111.94));(np.float64(541.0), np.float64(202.88));(np.float64(435.75), np.float64(75.19));(np.float64(415.5), np.float64(264.5));(np.float64(406.75), np.float64(258.75));(np.float64(407.75), np.float64(353.0));(np.float64(432.75), np.float64(349.25));(np.float64(379.5), np.float64(436.5));(np.float64(438.0), np.float64(440.5))
0.58;videos/cuts_test/50wtf9.mp4;walk;(np.float64(495.75), np.float64(138.25));(np.float64(499.75), np.float64(132.25));(np.float64(493.75), np.float64(128.38));(np.float64(485.5), np.float64(130.88));(np.float64(473.5), np.float64(119.81));(np.float64(472.5), np.float64(167.88));(np.float64(443.25), np.float64(147.0));(np.float64(502.0), np.float64(187.62));(np.float64(423.75), np.float64(115.94));(np.float64(542.0), np.float64(193.25));(np.float64(443.25), np.float64(84.69));(np.float64(415.5), np.float64(264.5));(np.float64(408.25), np.float64(259.75));(np.float64(409.0), np.float64(352.25));(np.float64(433.75), np.float64(349.5));(np.float64(380.5), np.float64(435.75));(np.float64(438.25), np.float64(440.5))
0.63;videos/cuts_test/50wtf9.mp4;walk;(np.float64(496.0), np.float64(138.5));(np.float64(500.5), np.float64(132.5));(np.float64(494.25), np.float64(128.62));(np.float64(484.75), np.float64(130.12));(np.float64(474.25), np.float64(120.12));(np.float64(474.25), np.float64(168.25));(np.float64(444.25), np.float64(147.12));(np.float64(504.0), np.float64(188.0));(np.float64(425.5), np.float64(117.75));(np.float64(545.0), np.float64(191.75));(np.float64(445.0), np.float64(89.5));(np.float64(417.0), np.float64(264.75));(np.float64(409.0), np.float64(260.0));(np.float64(408.0), np.float64(353.0));(np.float64(433.5), np.float64(350.0));(np.float64(379.5), np.float64(436.25));(np.float64(438.0), np.float64(439.75))
0.67;videos/cuts_test/50wtf9.mp4;walk;(np.float64(498.25), np.float64(139.38));(np.float64(502.5), np.float64(133.5));(np.float64(496.0), np.float64(129.5));(np.float64(489.5), np.float64(132.38));(np.float64(475.5), np.float64(120.94));(np.float64(476.0), np.float64(169.88));(np.float64(444.5), np.float64(146.38));(np.float64(508.0), np.float64(190.25));(np.float64(424.75), np.float64(114.81));(np.float64(550.0), np.float64(195.12));(np.float64(449.0), np.float64(85.31));(np.float64(416.25), np.float64(264.0));(np.float64(408.0), np.float64(259.0));(np.float64(409.75), np.float64(351.75));(np.float64(433.75), np.float64(349.5));(np.float64(380.5), np.float64(435.25));(np.float64(438.25), np.float64(441.0))
0.71;videos/cuts_test/50wtf9.mp4;walk;(np.float64(499.5), np.float64(141.12));(np.float64(504.0), np.float64(135.5));(np.float64(497.25), np.float64(131.12));(np.float64(491.75), np.float64(134.88));(np.float64(477.0), np.float64(122.38));(np.float64(477.5), np.float64(172.38));(np.float64(446.0), np.float64(146.0));(np.float64(513.0), np.float64(195.38));(np.float64(425.5), np.float64(111.44));(np.float64(556.5), np.float64(203.5));(np.float64(447.5), np.float64(77.31));(np.float64(415.25), np.float64(265.0));(np.float64(407.25), np.float64(259.25));(np.float64(410.25), np.float64(352.5));(np.float64(433.0), np.float64(349.5));(np.float64(380.75), np.float64(435.5));(np.float64(438.25), np.float64(441.0))
0.75;videos/cuts_test/50wtf9.mp4;walk;(np.float64(500.5), np.float64(144.5));(np.float64(505.25), np.float64(139.12));(np.float64(498.5), np.float64(134.38));(np.float64(492.0), np.float64(138.5));(np.float64(479.0), np.float64(125.12));(np.float64(478.0), np.float64(176.5));(np.float64(446.75), np.float64(146.75));(np.float64(515.5), np.float64(201.88));(np.float64(426.25), np.float64(104.44));(np.float64(558.5), np.float64(214.0));(np.float64(443.5), np.float64(64.44));(np.float64(414.5), np.float64(266.5));(np.float64(406.75), np.float64(260.0));(np.float64(410.5), np.float64(353.75));(np.float64(431.5), np.float64(350.75));(np.float64(380.5), np.float64(435.5));(np.float64(438.25), np.float64(441.0))
0.79;videos/cuts_test/50wtf9.mp4;walk;(np.float64(502.5), np.float64(147.5));(np.float64(507.25), np.float64(141.62));(np.float64(500.5), np.float64(137.25));(np.float64(494.25), np.float64(140.25));(np.float64(481.0), np.float64(127.62));(np.float64(479.5), np.float64(179.5));(np.float64(447.75), np.float64(146.25));(np.float64(514.5), np.float64(209.25));(np.float64(427.75), np.float64(97.06));(np.float64(557.0), np.float64(224.25));(np.float64(441.0), np.float64(50.5));(np.float64(415.75), np.float64(267.5));(np.float64(405.25), np.float64(260.5));(np.float64(410.5), np.float64(354.0));(np.float64(430.0), np.float64(350.5));(np.float64(380.25), np.float64(435.75));(np.float64(438.25), np.float64(441.0))
0.83;videos/cuts_test/50wtf9.mp4;walk;(np.float64(505.0), np.float64(151.25));(np.float64(509.5), np.float64(145.5));(np.float64(503.0), np.float64(140.75));(np.float64(496.5), np.float64(144.12));(np.float64(483.75), np.float64(130.5));(np.float64(480.5), np.float64(184.25));(np.float64(449.25), np.float64(146.62));(np.float64(516.5), np.float64(219.75));(np.float64(429.25), np.float64(91.81));(np.float64(562.0), np.float64(240.38));(np.float64(438.75), np.float64(38.5));(np.float64(415.5), np.float64(267.75));(np.float64(403.75), np.float64(259.5));(np.float64(410.5), np.float64(354.5));(np.float64(428.75), np.float64(350.75));(np.float64(380.0), np.float64(436.25));(np.float64(438.25), np.float64(441.25))
0.88;videos/cuts_test/50wtf9.mp4;walk;(np.float64(507.0), np.float64(154.88));(np.float64(511.5), np.float64(149.38));(np.float64(505.0), np.float64(144.12));(np.float64(497.25), np.float64(148.75));(np.float64(486.25), np.float64(133.75));(np.float64(480.25), np.float64(188.75));(np.float64(452.25), np.float64(144.5));(np.float64(512.0), np.float64(229.25));(np.float64(432.25), np.float64(84.19));(np.float64(557.0), np.float64(253.88));(np.float64(440.5), np.float64(30.75));(np.float64(413.5), np.float64(267.5));(np.float64(403.0), np.float64(257.5));(np.float64(411.0), np.float64(355.0));(np.float64(426.25), np.float64(351.0));(np.float64(379.5), np.float64(436.5));(np.float64(437.5), np.float64(441.75))
0.92;videos/cuts_test/50wtf9.mp4;walk;(np.float64(509.0), np.float64(158.5));(np.float64(513.5), np.float64(153.0));(np.float64(508.0), np.float64(147.75));(np.float64(498.0), np.float64(151.75));(np.float64(489.5), np.float64(136.5));(np.float64(480.0), np.float64(192.5));(np.float64(455.5), np.float64(143.75));(np.float64(509.5), np.float64(239.75));(np.float64(440.25), np.float64(73.69));(np.float64(551.5), np.float64(269.0));(np.float64(444.5), np.float64(27.5));(np.float64(412.0), np.float64(266.5));(np.float64(402.25), np.float64(255.62));(np.float64(409.5), np.float64(354.5));(np.float64(425.25), np.float64(350.5));(np.float64(378.5), np.float64(436.5));(np.float64(436.75), np.float64(442.75))
0.96;videos/cuts_test/50wtf9.mp4;walk;(np.float64(510.5), np.float64(161.5));(np.float64(515.0), np.float64(156.0));(np.float64(509.5), np.float64(150.62));(np.float64(498.0), np.float64(154.38));(np.float64(491.25), np.float64(139.0));(np.float64(478.75), np.float64(194.75));(np.float64(458.25), np.float64(146.25));(np.float64(505.5), np.float64(245.5));(np.float64(444.5), np.float64(81.56));(np.float64(546.0), np.float64(279.25));(np.float64(451.0), np.float64(30.25));(np.float64(409.25), np.float64(266.0));(np.float64(403.25), np.float64(254.75));(np.float64(407.25), np.float64(354.0));(np.float64(425.75), np.float64(350.0));(np.float64(379.0), np.float64(436.5));(np.float64(437.25), np.float64(442.5))
1.0;videos/cuts_test/50wtf9.mp4;walk;(np.float64(512.0), np.float64(163.62));(np.float64(516.5), np.float64(158.5));(np.float64(511.0), np.float64(152.75));(np.float64(499.75), np.float64(158.0));(np.float64(492.5), np.float64(141.0));(np.float64(478.0), np.float64(197.88));(np.float64(460.5), np.float64(147.0));(np.float64(503.0), np.float64(252.38));(np.float64(454.25), np.float64(76.81));(np.float64(541.0), np.float64(287.5));(np.float64(462.0), np.float64(24.5));(np.float64(409.0), np.float64(265.5));(np.float64(403.5), np.float64(253.62));(np.float64(406.0), np.float64(353.0));(np.float64(426.25), np.float64(349.0));(np.float64(378.5), np.float64(436.5));(np.float64(437.5), np.float64(442.75))
1.04;videos/cuts_test/50wtf9.mp4;walk;(np.float64(513.0), np.float64(166.0));(np.float64(518.0), np.float64(161.25));(np.float64(512.5), np.float64(155.25));(np.float64(501.5), np.float64(160.62));(np.float64(494.5), np.float64(142.88));(np.float64(477.25), np.float64(199.0));(np.float64(463.0), np.float64(148.0));(np.float64(498.5), np.float64(254.62));(np.float64(460.75), np.float64(77.81));(np.float64(536.0), np.float64(292.0));(np.float64(470.5), np.float64(27.0));(np.float64(408.75), np.float64(265.0));(np.float64(404.75), np.float64(253.25));(np.float64(406.5), np.float64(353.0));(np.float64(427.0), np.float64(349.25));(np.float64(378.5), np.float64(436.5));(np.float64(437.75), np.float64(443.0))
1.08;videos/cuts_test/50wtf9.mp4;walk;(np.float64(514.0), np.float64(167.75));(np.float64(518.5), np.float64(163.12));(np.float64(512.5), np.float64(157.0));(np.float64(502.5), np.float64(163.12));(np.float64(494.5), np.float64(145.25));(np.float64(477.75), np.float64(201.62));(np.float64(463.75), np.float64(149.0));(np.float64(496.5), np.float64(256.5));(np.float64(463.5), np.float64(78.94));(np.float64(529.5), np.float64(295.25));(np.float64(478.0), np.float64(29.5));(np.float64(408.25), np.float64(265.25));(np.float64(403.5), np.float64(252.75));(np.float64(406.5), np.float64(353.25));(np.float64(426.0), np.float64(349.5));(np.float64(378.25), np.float64(436.75));(np.float64(438.25), np.float64(443.0))
1.13;videos/cuts_test/50wtf9.mp4;walk;(np.float64(514.5), np.float64(168.88));(np.float64(519.0), np.float64(164.38));(np.float64(513.5), np.float64(158.38));(np.float64(502.0), np.float64(164.0));(np.float64(495.75), np.float64(146.0));(np.float64(476.5), np.float64(202.0));(np.float64(465.5), np.float64(148.88));(np.float64(491.5), np.float64(257.5));(np.float64(470.5), np.float64(75.81));(np.float64(524.0), np.float64(297.25));(np.float64(488.75), np.float64(30.5));(np.float64(407.25), np.float64(264.5));(np.float64(404.5), np.float64(252.75));(np.float64(406.5), np.float64(354.25));(np.float64(427.25), np.float64(350.5));(np.float64(378.0), np.float64(437.25));(np.float64(439.0), np.float64(443.5))
1.17;videos/cuts_test/50wtf9.mp4;walk;(np.float64(516.0), np.float64(169.62));(np.float64(520.0), np.float64(164.62));(np.float64(515.0), np.float64(159.12));(np.float64(501.0), np.float64(162.88));(np.float64(496.25), np.float64(146.88));(np.float64(475.5), np.float64(200.62));(np.float64(466.75), np.float64(151.5));(np.float64(484.0), np.float64(257.25));(np.float64(475.5), np.float64(84.69));(np.float64(513.5), np.float64(303.0));(np.float64(498.25), np.float64(36.0));(np.float64(406.0), np.float64(264.5));(np.float64(405.25), np.float64(253.62));(np.float64(405.5), np.float64(354.5));(np.float64(428.0), np.float64(351.0));(np.float64(378.25), np.float64(437.5));(np.float64(439.0), np.float64(443.0))
1.21;videos/cuts_test/50wtf9.mp4;walk;(np.float64(518.0), np.float64(170.75));(np.float64(522.0), np.float64(165.75));(np.float64(517.0), np.float64(160.25));(np.float64(501.75), np.float64(163.5));(np.float64(498.25), np.float64(147.5));(np.float64(474.25), np.float64(198.38));(np.float64(469.5), np.float64(151.0));(np.float64(474.0), np.float64(257.75));(np.float64(486.5), np.float64(83.06));(np.float64(493.75), np.float64(307.0));(np.float64(514.0), np.float64(40.75));(np.float64(405.0), np.float64(263.5));(np.float64(405.5), np.float64(253.5));(np.float64(405.0), np.float64(354.75));(np.float64(428.0), np.float64(351.5));(np.float64(378.5), np.float64(437.75));(np.float64(440.0), np.float64(443.5))
1.25;videos/cuts_test/50wtf9.mp4;walk;(np.float64(519.5), np.float64(172.0));(np.float64(523.5), np.float64(166.38));(np.float64(519.5), np.float64(161.0));(np.float64(500.75), np.float64(162.88));(np.float64(500.5), np.float64(148.75));(np.float64(471.75), np.float64(195.75));(np.float64(472.5), np.float64(155.0));(np.float64(462.0), np.float64(259.25));(np.float64(499.25), np.float64(91.44));(np.float64(468.5), np.float64(313.0));(np.float64(537.5), np.float64(48.75));(np.float64(403.75), np.float64(263.0));(np.float64(407.5), np.float64(254.5));(np.float64(404.5), np.float64(352.5));(np.float64(428.25), np.float64(350.25));(np.float64(378.75), np.float64(435.25));(np.float64(437.5), np.float64(443.5))
1.29;videos/cuts_test/50wtf9.mp4;walk;(np.float64(522.0), np.float64(175.0));(np.float64(526.0), np.float64(168.5));(np.float64(521.0), np.float64(164.38));(np.float64(504.5), np.float64(162.25));(np.float64(502.0), np.float64(153.0));(np.float64(465.5), np.float64(190.0));(np.float64(475.25), np.float64(159.75));(np.float64(445.0), np.float64(250.5));(np.float64(510.25), np.float64(105.31));(np.float64(442.5), np.float64(297.0));(np.float64(562.0), np.float64(67.06));(np.float64(400.5), np.float64(261.5));(np.float64(408.75), np.float64(256.25));(np.float64(403.5), np.float64(352.5));(np.float64(425.25), np.float64(350.5));(np.float64(379.5), np.float64(434.5));(np.float64(437.75), np.float64(443.5))
1.33;videos/cuts_test/50wtf9.mp4;walk;(np.float64(523.5), np.float64(178.38));(np.float64(528.5), np.float64(172.0));(np.float64(523.5), np.float64(168.0));(np.float64(507.25), np.float64(164.5));(np.float64(505.5), np.float64(156.62));(np.float64(471.75), np.float64(178.0));(np.float64(477.75), np.float64(166.5));(np.float64(525.0), np.float64(145.0));(np.float64(530.5), np.float64(115.25));(np.float64(584.5), np.float64(106.75));(np.float64(584.5), np.float64(89.0));(np.float64(398.5), np.float64(261.75));(np.float64(405.75), np.float64(259.75));(np.float64(404.0), np.float64(353.0));(np.float64(422.75), np.float64(352.5));(np.float64(379.25), np.float64(434.5));(np.float64(437.0), np.float64(441.25))
1.38;videos/cuts_test/50wtf9.mp4;walk;(np.float64(526.0), np.float64(181.25));(np.float64(530.5), np.float64(175.75));(np.float64(524.0), np.float64(171.25));(np.float64(516.5), np.float64(171.75));(np.float64(508.0), np.float64(161.12));(np.float64(477.75), np.float64(186.5));(np.float64(481.0), np.float64(172.62));(np.float64(527.0), np.float64(174.75));(np.float64(541.5), np.float64(134.75));(np.float64(591.0), np.float64(146.5));(np.float64(596.0), np.float64(122.75));(np.float64(400.25), np.float64(265.5));(np.float64(403.0), np.float64(262.5));(np.float64(403.0), np.float64(356.5));(np.float64(421.5), np.float64(355.5));(np.float64(379.75), np.float64(436.0));(np.float64(437.75), np.float64(442.25))
1.42;videos/cuts_test/50wtf9.mp4;walk;(np.float64(528.0), np.float64(184.62));(np.float64(531.0), np.float64(178.25));(np.float64(525.0), np.float64(175.25));(np.float64(517.0), np.float64(173.12));(np.float64(507.5), np.float64(165.5));(np.float64(487.0), np.float64(179.25));(np.float64(488.25), np.float64(174.62));(np.float64(560.0), np.float64(161.5));(np.float64(558.0), np.float64(154.5));(np.float64(612.5), np.float64(151.75));(np.float64(612.0), np.float64(148.75));(np.float64(401.5), np.float64(264.25));(np.float64(403.25), np.float64(263.5));(np.float64(404.5), np.float64(356.0));(np.float64(421.0), np.float64(357.0));(np.float64(376.75), np.float64(435.75));(np.float64(436.75), np.float64(442.75))
1.46;videos/cuts_test/50wtf9.mp4;walk;(np.float64(517.5), np.float64(195.25));(np.float64(523.0), np.float64(189.25));(np.float64(520.0), np.float64(184.25));(np.float64(506.0), np.float64(172.38));(np.float64(510.5), np.float64(165.62));(np.float64(456.0), np.float64(178.75));(np.float64(496.0), np.float64(176.38));(np.float64(396.5), np.float64(203.88));(np.float64(570.0), np.float64(176.25));(np.float64(351.75), np.float64(233.88));(np.float64(625.5), np.float64(179.25));(np.float64(388.25), np.float64(264.0));(np.float64(407.0), np.float64(265.0));(np.float64(399.0), np.float64(359.0));(np.float64(420.25), np.float64(361.0));(np.float64(375.75), np.float64(437.5));(np.float64(437.25), np.float64(445.0))
1.5;videos/cuts_test/50wtf9.mp4;walk;(np.float64(527.5), np.float64(190.25));(np.float64(532.5), np.float64(184.62));(np.float64(527.0), np.float64(180.75));(np.float64(506.0), np.float64(169.25));(np.float64(508.5), np.float64(168.12));(np.float64(455.5), np.float64(175.75));(np.float64(499.75), np.float64(190.25));(np.float64(399.0), np.float64(188.0));(np.float64(566.0), np.float64(198.5));(np.float64(347.25), np.float64(200.62));(np.float64(624.5), np.float64(201.0));(np.float64(381.75), np.float64(259.5));(np.float64(407.0), np.float64(265.25));(np.float64(395.75), np.float64(356.75));(np.float64(423.5), np.float64(361.0));(np.float64(374.0), np.float64(436.5));(np.float64(437.5), np.float64(443.5))
1.54;videos/cuts_test/50wtf9.mp4;walk;(np.float64(531.0), np.float64(191.25));(np.float64(536.0), np.float64(185.25));(np.float64(529.5), np.float64(181.62));(np.float64(513.0), np.float64(171.88));(np.float64(510.5), np.float64(170.25));(np.float64(456.75), np.float64(172.0));(np.float64(504.5), np.float64(195.5));(np.float64(400.75), np.float64(171.0));(np.float64(566.5), np.float64(214.25));(np.float64(343.5), np.float64(173.75));(np.float64(626.5), np.float64(223.62));(np.float64(376.75), np.float64(256.5));(np.float64(405.75), np.float64(263.75));(np.float64(393.0), np.float64(355.5));(np.float64(423.75), np.float64(360.75));(np.float64(374.0), np.float64(436.25));(np.float64(438.25), np.float64(443.5))
1.58;videos/cuts_test/50wtf9.mp4;walk;(np.float64(530.5), np.float64(192.75));(np.float64(536.0), np.float64(186.75));(np.float64(530.0), np.float64(182.88));(np.float64(512.5), np.float64(172.38));(np.float64(512.0), np.float64(170.25));(np.float64(456.75), np.float64(168.62));(np.float64(502.25), np.float64(197.12));(np.float64(398.25), np.float64(157.75));(np.float64(559.5), np.float64(225.0));(np.float64(351.5), np.float64(149.75));(np.float64(612.0), np.float64(244.88));(np.float64(377.75), np.float64(256.5));(np.float64(405.75), np.float64(263.5));(np.float64(394.5), np.float64(354.25));(np.float64(424.75), np.float64(360.0));(np.float64(374.75), np.float64(435.0));(np.float64(438.75), np.float64(443.25))
